Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2017-08-18,,,,,0.95,929.5,0.0,0.0
2017-08-17,,,,,15.85,928.55,0.0,0.0
2017-08-16,,,,,15.65,912.7,0.0,0.0
2017-08-15,,,,,6.1,897.05,0.0,0.0
2017-08-14,,,,,3.45,903.15,0.0,0.0
2017-08-11,,,,,2.35,899.7,0.0,0.0
2017-08-10,,,,,5.2,902.05,0.0,0.0
2017-08-09,,,,,6.55,896.85,0.0,0.0
2017-08-08,,,,,13.2,903.4,0.0,0.0
2017-08-07,,,,,10.4,890.2,0.0,0.0
2017-08-04,,,,,6.2,879.8,0.0,0.0
2017-08-03,,,,,11.2,886.0,0.0,0.0
2017-08-02,,,,,1.2,897.2,0.0,0.0
2017-08-01,,,,,7.9,898.4,0.0,4.0
2017-07-31,885.0,885.0,885.0,885.0,5.25,890.5,3.0,3.0
2017-07-28,883.0,883.0,883.0,883.0,3.25,885.25,1.0,4.0
2017-07-27,,,,,14.0,882.0,0.0,4.0
2017-07-26,,,,,5.95,868.0,0.0,4.0
2017-07-25,,,,,7.75,862.05,0.0,4.0
2017-07-24,,,,,4.7,854.3,0.0,4.0
2017-07-21,852.85,852.85,852.85,852.85,3.25,849.6,2.0,4.0
2017-07-20,,,,,11.55,852.85,0.0,4.0
2017-07-19,,,,,5.3,864.4,0.0,4.0
2017-07-18,873.45,873.45,873.45,873.45,1.15,869.7,1.0,4.0
2017-07-17,,,,,8.65,870.85,0.0,4.0
2017-07-14,,,,,2.0,862.2,0.0,4.0
2017-07-13,,,,,6.8,860.2,0.0,4.0
2017-07-12,,,,,14.7,867.0,0.0,4.0
2017-07-11,848.7,856.4,847.0,856.4,9.5,852.3,4.0,4.0
2017-07-10,,,,,6.1,842.8,0.0,4.0
2017-07-07,,,,,0.95,836.7,0.0,4.0
2017-07-06,,,,,1.4,837.65,0.0,4.0
2017-07-05,,,,,7.6,836.25,0.0,4.0
2017-07-03,837.9,837.9,837.9,837.9,5.75,843.85,1.0,3.0
2017-06-30,842.6,842.6,842.6,842.6,9.45,838.1,1.0,2.0
2017-06-29,,856.5,,856.5,8.5,847.55,0.0,2.0
2017-06-28,,,,,3.75,856.05,0.0,2.0
2017-06-27,860.8,860.8,858.1,858.1,6.15,859.8,2.0,3.0
2017-06-26,,,,,,865.95,0.0,3.0
2017-06-23,878.65,891.0,874.0,874.0,23.5,857.65,4.0,3.0
2017-06-22,889.85,898.0,889.85,898.0,6.7,881.15,1.0,4.0
2017-06-21,883.0,883.0,883.0,883.0,9.3,887.85,1.0,4.0
2017-06-20,875.95,876.0,875.7,875.7,11.55,878.55,2.0,3.0
2017-06-19,,,,,10.05,867.0,0.0,3.0
2017-06-16,,,,,16.75,877.05,0.0,3.0
2017-06-15,,,,,4.15,860.3,0.0,3.0
2017-06-14,858.5,863.5,858.5,863.5,3.75,856.15,2.0,2.0
2017-06-13,874.0,874.0,862.8,863.0,6.7,859.9,3.0,3.0
2017-06-12,867.0,875.0,867.0,875.0,8.05,866.6,4.0,1.0
2017-06-09,,,,,9.7,858.55,3.0,1.0
2017-06-08,,,,,20.7,848.85,1.0,0.0
2017-06-07,,,,,20.15,828.15,0.0,0.0
2017-06-06,,,,,6.6,848.3,0.0,0.0
2017-06-05,,,,,7.8,841.7,0.0,0.0
2017-06-02,,,,,9.9,833.9,0.0,0.0
2017-06-01,,,,,6.3,824.0,0.0,0.0
2017-05-31,,,,,13.65,817.7,0.0,0.0
2017-05-30,,,,,17.15,804.05,0.0,0.0
2017-05-26,,,,,0.0,786.9,0.0,0.0
